time,msg
2019-12-27 23:48:46, Memory CPU1C0_DIMM_Stat | Correctable ECC | Asserted
2019-12-28 05:12:23, OS Boot #0xe9 | boot completed - device not specified | Asserted
2019-12-28 06:51:06, Memory #0xe2 | Correctable ECC | Asserted
2019-12-28 19:20:18, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted
2019-12-28 19:22:13, Memory CPU1E0_DIMM_Stat | Correctable ECC | Asserted
2019-12-29 03:56:26, Memory #0xf9 | Correctable ECC | Asserted
2019-12-29 03:57:25, Microcontroller #0x16 | Transition to Running | Asserted
2019-12-29 05:39:12, Memory #0x87 | Uncorrectable ECC | Asserted
2019-12-29 05:42:26, Unknown Chassis_control |  | Asserted
2019-12-29 05:42:31, Power Unit Power Unit | Power off/down | Asserted
2019-12-29 11:20:47, System ACPI Power State ACPI_PWR_Status�Tota | S0/G0: working | Asserted
2019-12-29 18:42:57, System ACPI Power State ACPI_PWR_Status | S4/S5: soft-off | Asserted
2019-12-30 07:17:28, Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted
2019-12-30 07:20:44, Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted
2019-12-30 07:28:20, Memory CPU1A0_DIMM_Stat | Correctable ECC | Asserted
2019-12-30 09:08:48, Watchdog 2 IPMI_Watchdog | Power cycle | Deasserted
2019-12-30 09:12:46, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 09:23:26, Memory CPU1D1_DIMM_Stat | Memory Device Disabled | Asserted
2019-12-30 14:59:57, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 16:45:43, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 17:26:45, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 18:26:10, Memory CPU0B1_DIMM_Stat | Correctable ECC | Asserted
2019-12-30 19:45:41, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 19:46:43, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 20:06:44, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 20:07:09, Memory #0xe2 | Correctable ECC | Asserted
2019-12-30 20:07:12, Memory #0xe2 | Correctable ECC | Asserted
2019-12-31 01:01:42, Memory #0xf9 | Correctable ECC | Asserted
2019-12-31 01:20:23, Memory #0xe2 | Correctable ECC | Asserted
2019-12-31 10:23:26, Memory Memory_Status | Correctable ECC | Asserted
2019-12-31 11:09:38, Memory #0xf9 | Correctable ECC | Asserted
2019-12-31 13:30:15, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted
2019-12-31 15:43:35, System Boot Initiated BIOS_Boot_Up | Initiated by warm reset | Asserted
2019-12-31 19:15:11, Memory CPU0B0_DIMM_Stat | Correctable ECC | Deasserted
2020-01-01 10:03:09, System Boot Initiated BIOS_Boot_Up | Initiated by power up | Asserted
2020-01-01 10:21:47, OS Boot #0xe9 | boot completed - device not specified | Asserted
2020-01-01 10:41:22, Fan FAN6_RPM | Lower Critical going low  | Asserted | Reading 0
2020-01-01 10:54:48, Temperature CPU1_Margin_Temp | Lower Critical going low  | Deasserted | Reading 2
2020-01-01 17:36:09, System Boot Initiated System_Restart | System Restart | Asserted
2020-01-01 18:05:36, System Boot Initiated System_Restart | System Restart | Asserted
2020-01-01 18:28:58, Memory #0x97 | Memory Device Disabled | Asserted
2020-01-01 18:31:39, System Event #0xff | Timestamp Clock Sync | Asserted
2020-01-01 18:37:47, Power Unit Pwr Unit Status | Power off/down | Deasserted
2020-01-01 18:37:47, System Event #0xff | Timestamp Clock Sync | Asserted
2020-01-01 19:26:50, System Event #0xff | Timestamp Clock Sync | Asserted
